,name,price,item
18,Sony PlayStation 4 Pro  1TB Console - Jet Black,,Playstation 4
19,Sony PlayStation 4 1TB Call of Duty Black Ops III Limited Edition,,Playstation 4
20,"Sony PlayStation 4 🎮500gb games , work great 😌 ‼️‼️",175.5,Playstation 4
21,Sony PlayStation 4 500GB Jet Black Console. 3 games. 1 controller.,275.0,Playstation 4
22,Sony PlayStation 4 Pro 1TB Console - Black With Controller Tested,,Playstation 4
23,Sony PlayStation 4 500GB Jet Black Console Great Condition.,,Playstation 4
24,Sony PlayStation 4 Slim 500GB Jet Black Home Console,275.0,Playstation 4
25,Sony PlayStation 4 500GB PS4 Black Console - W/ 1 Controller Works Great,,Playstation 4
26,Sony PlayStation 4 Pro 1TB Jet Black Console with games,,Playstation 4
27,Sony PlayStation 4 Slim 1TB Console - Jet Black STILL SEALED,175.5,Playstation 4
28,PlayStation 4 Pro Spider-Man Sony PS4 1TB Console - Complete w/ 3 Games,,Playstation 4
29,Sony PlayStation 4 Slim 1TB Console - Jet Black Firmware 5.05,,Playstation 4
30,Sony PlayStation 4  500GB  Console Batman Arkham Knight Limited Edition +3 games,,Playstation 4
31,Sony PlayStation 4 Slim 1TB Jet Black Home Console,150.0,Playstation 4
32,Sony PlayStation 4 Slim + Controller Bundle SELECT YOUR PS4 GAMES WIDE VARIETY! ,,Playstation 4
33,"Sony PlayStation 4 CUH-1001A 500 GB with controller (Tested, Works Great)",,Playstation 4
34,Sony PlayStation 4 Slim 1TB Console - Jet Black with 4 games,,Playstation 4
35,PlayStation 4 500GB Black Console - TESTED WORKS GREAT - SHIPS NOW,,Playstation 4
36,Sony PlayStation 4 PS4 Pro 1TB Console with game God of war edition Leviathan,,Playstation 4
37,Sony PlayStation 4 Slim 1TB Jet Black Home Console,242.0,Playstation 4
38,NEW Sony PlayStation PS4 1TB Slim Gaming Console Black - CUH-2215B,,Playstation 4
39,Sony PlayStation 4 PS4 Pro 1TB 4K Console - Black,375.0,Playstation 4
40,1TB PLAYSTATION 4 PRO RED DEAD REDEMPTION 2 SYSTEM BUNDLE [SONY],193.5,Playstation 4
41,"Playstation 4 (PS4) Slim 1TB Console with Controller, All Cables and Retail Box",,Playstation 4
42,PlayStation 4 1TB Console,205.0,Playstation 4
43,Sony PS Vita Handheld PlayStation PCH-1001 - 4 Games - 8GB Memory Card Extra Bat,,Playstation 4
44,Playstation 4 (PS4) Console with Two controllers 500GB,,Playstation 4
45,Sony PlayStation 4 PS4 500GB Launch Console EX - Black - Firmware 6.72 Jailbreak,,Playstation 4
46,Sony PlayStation 4 Pro 1TB Console - Black,350.0,Playstation 4
47,Sony PlayStation 4 Pro 1TB Console - Black ,,Playstation 4
48,Sony PlayStation 4 Slim Days of Play Limited Edition 1TB Video Game Console Blue,,Playstation 4
49,Sony PlayStation 4 Pro 1TB Console - Black PS4,285.0,Playstation 4
50,Sony Gold PS4 PlayStation 4 Slim Limited Edition 1TB Gaming Console,199.99,Playstation 4
51,Sony PlayStation 4 CUH-1001A 500 GB Gaming Console only - Black,210.68,Playstation 4
52,Sony PlayStation 4 PS4 Slim 1TB Console CUH-2115B Jet Black Bundle,182.5,Playstation 4
53,Sony PlayStation 4 PS4 Pro 2TB 4K Console - Black with 11 games bundled,350.0,Playstation 4
54,Monster Hunter World PlayStation 4 Pro Rathalos Edition ps4 1TB Console ,240.0,Playstation 4
55,"Sony PlayStation 4 Slim 1TB Game Console - Black, w controller, hdmi, and power ",138.0,Playstation 4
56,[Used] Sony PlayStation 4 Pro 1TB (Jet Black) CUH-7115B w/ Marvel's Spider-Man,170.5,Playstation 4
57,"Sony PlayStation 4 PS4 CUH-1115A 500GB Jet Black Console, 10 games 2 controllers",251.5,Playstation 4
58,PlayStation 4 1TB Console Jet Black CUH-2215B - BRAND NEW SHIPS FAST,344.99,Playstation 4
59,Sony PlayStation 4 (PS4) 500GB Jet Black Console,209.5,Playstation 4
60,PlayStation 4 Call of Duty: Black Ops III 3 Limited Edition 1TB Console Bundle !,,Playstation 4
61,Sony PlayStation 4 BATMAN ARKHAM KNIGHT Edition with extra controller and games!,375.0,Playstation 4
